id	sex	mother	father	generation	liability	birth_year
1	M	-1	-1	0	0.3047	2000
2	F	-1	-1	0	-1.04	2000
3	M	-1	-1	0	0.7505	2000
4	F	-1	-1	0	0.9406	2000
5	M	-1	-1	0	-1.951	2000
6	F	-1	-1	0	-1.3022	2000
7	M	-1	-1	0	0.1278	2000
8	F	-1	-1	0	-0.3162	2000
9	M	-1	-1	0	-0.0168	2000
10	F	-1	-1	0	-0.853	2000
11	M	-1	-1	0	0.8794	2000
12	F	-1	-1	0	0.7778	2000
13	M	-1	-1	0	0.066	2000
14	F	-1	-1	0	1.1272	2000
15	M	-1	-1	0	0.4675	2000
16	F	-1	-1	0	-0.8593	2000
17	M	-1	-1	0	0.3688	2000
18	F	-1	-1	0	-0.9589	2000
19	M	-1	-1	0	0.8785	2000
20	F	-1	-1	0	-0.0499	2000
21	M	-1	-1	0	-0.1849	2000
22	F	-1	-1	0	-0.6809	2000
23	M	-1	-1	0	1.2225	2000
24	F	-1	-1	0	-0.1545	2000
25	M	-1	-1	0	-0.4283	2000
26	F	-1	-1	0	-0.3521	2000
27	M	-1	-1	0	0.5323	2000
28	F	-1	-1	0	0.3654	2000
29	M	-1	-1	0	0.4127	2000
30	F	-1	-1	0	0.4308	2000
31	M	30	25	1	0.858	2005
32	M	8	17	1	-1.2757	2005
33	M	30	29	1	-0.9195	2005
34	M	16	21	1	0.1424	2005
35	F	4	19	1	-0.4273	2005
36	F	4	9	1	0.6256	2005
37	M	16	5	1	0.4568	2005
38	M	14	1	1	-0.3631	2005
39	M	26	23	1	-1.1958	2005
40	M	20	7	1	-0.4694	2005
41	F	2	13	1	0.4807	2005
42	F	6	29	1	0.6654	2005
43	M	24	15	1	-0.4233	2005
44	F	12	23	1	-1.6873	2005
45	M	28	11	1	-1.3227	2005
46	F	10	3	1	0.3998	2005
47	F	26	9	1	-0.3782	2005
48	F	10	19	1	-0.3563	2005
49	F	18	21	1	-0.9336	2005
50	M	22	27	1	-0.95	2005
51	F	30	25	1	0.8403	2005
52	M	8	17	1	0.4344	2005
53	F	30	29	1	-0.5941	2005
54	F	16	21	1	0.0721	2005
55	F	4	19	1	0.2327	2005
56	F	4	9	1	1.6018	2005
57	F	16	5	1	-1.0235	2005
58	M	14	1	1	0.22	2005
59	M	26	23	1	0.8351	2005
60	M	20	7	1	1.4633	2005
61	F	2	13	1	-0.6398	2005
62	F	6	29	1	-0.3898	2005
63	M	24	15	1	0.6352	2005
64	M	12	23	1	-1.4708	2005
65	M	28	11	1	0.3135	2005
66	M	10	3	1	1.9967	2005
67	M	26	9	1	0.4144	2005
68	F	10	19	1	-2.132	2005
69	M	18	21	1	-0.8129	2005
70	F	22	27	1	-0.6121	2005
71	F	53	65	2	-0.1634	2010
72	M	68	33	2	1.4075	2010
73	M	62	34	2	0.6439	2010
74	M	56	50	2	-0.0487	2010
75	F	49	63	2	-1.2188	2010
76	M	42	40	2	-0.3341	2010
77	F	70	66	2	-1.3264	2010
78	M	55	52	2	-0.4842	2010
79	M	62	64	2	1.0028	2010
80	F	46	38	2	1.3374	2010
81	M	47	60	2	-0.6959	2010
82	M	41	34	2	0.2425	2010
83	F	36	59	2	-1.0844	2010
84	M	61	33	2	0.2282	2010
85	F	70	64	2	1.8768	2010
86	F	56	40	2	-0.2874	2010
87	M	48	45	2	-0.5907	2010
88	M	51	37	2	1.2059	2010
89	F	57	60	2	-0.6541	2010
90	M	35	58	2	-0.1627	2010
91	F	54	39	2	-0.5294	2010
92	M	55	69	2	1.1239	2010
93	F	47	31	2	-1.7577	2010
94	M	44	32	2	2.1292	2010
95	M	61	67	2	-1.0968	2010
96	F	53	65	2	2.9051	2010
97	M	68	33	2	-0.3682	2010
98	M	62	34	2	1.7287	2010
99	M	56	50	2	-0.2453	2010
100	F	49	63	2	0.4348	2010
101	M	42	40	2	-0.1338	2010
102	M	70	66	2	-0.2382	2010
